nom|description osm|icone
boulangerie|shop:bakery|bread-slice
pharmacie|amenity:pharmacy,healthcare|house-medical
restaurant|amenity:restaurant,fast_food,food_court|utensils
eau|amenity:drinking_water,water_point|droplet
bar|amenity:pub,cafe,internet_cafe,bar,biergarten|wine-glass
poste|amenity:post_office|envelope
boîte aux lettres|amenity:post_box|envelop
distributeur de billets|amenity:bank|money-bill-wave
toilettes|amenity:toilets|restroom
réparateur de vélo|amenity:bicycle_repair_station;shop:sports,bicycle|bicycle
camping|tourism:camp_site,alpine_hut,wilderness_hut,cabin|campground
logement|tourism:camp_site,alpine_hut,chalet,guest_house,apartment,hostel,wilderness_hut,cabin,Gîte|bed
parc|leisure:park,recreation_ground|child